GMPP ID Number,Project Name,Department,Annual Report Category,Description / Aims,"IPA Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)","SRO Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)",Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date 
(Latest Approved Start Date)","Project - End Date 
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)",Financial Year Baseline (£m) (including Non-Government Costs),Financial Year Forecast (£m) (including Non-Government Costs),Financial Year Variance (%),"Departmental narrative on budget/forecast variance for 2023/24 
(if variance is more than 5%)",TOTAL Baseline Whole Life Costs (£m) (including Non-Government Costs),Departmental Narrative on Budgeted Whole Life Costs,TOTAL Baseline Benefits (£m),Departmental Narrative on Budgeted Benefits
BEIS_0241_2324-Q1,BEPPS2,DESNZ,Infrastructure and Construction,"The Box Encapsulation Plant Product Store (BEPPS2) is a critical enabler for Sellafield Ltd to allow high hazard retrieval operations from Magnox Swarf Storage Silo (MSSS) and Pile Fuel Cladding Silo (PFCS). The BEPPS2 project will provide the capacity to store 7470 packages of legacy Intermediate Level Waste (ILW), safely and securely in a modern facility with a design life of 100 years.",,Green,"The Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 is Green. This is primarily due to the following factors. 

This is a nuclear project on an operational nuclear site. The Project is in the define stage.  The BEPPS2 project is being delivered by the Programme and Project Partnership (PPP). The SRO DCA is a RAG rating of GREEN representing delivery against the Outline Business Case (OBC) approved by HMG in September 2023. The project is showing no significant threat to the overall P80 schedule and continues to proactively manage opportunities whilst mitigating and balancing current and future threats, keeping the forecast completion of the BEPPS2 project within the strategic tolerances of the Programme.",2017-11-01 00:00:00,2035-06-30 00:00:00,"The project's end-date at 23/24-Q4 is 2035-06-30. This is primarily due to the following factors. 

 The Project remains on schedule and there is no change to the date of 30 June 2035.",27.7,14.81,-47,"The budget variance exceeds 5%. This is primarily due to the following factors. The in year spend is less than the budget (baseline) for 2023/24 due to intentionally not taking over the site as initially planned as there was no project requirement yet, efficiencies achieved on Site Preparation and Surveys and non utilisation of contingency/estimating uncertainty.   This shows that the project is not spending money ahead of demand whilst not affecting the overall spend position or having any impact on the project schedule. This better aligns to the current  delivery strategy.",727,"The project's departmental-agree Whole Life Cost at 23/24-Q4 is 727m. This is primarily due to the following factors. 

 The BEPPS2 budgeted cost (baseline) has increased, this is due to escalation in line with the agreed indices.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

Contribution towards NDA's strategic outcome 33: All Intermediate Level Waste in interim storage. The project does this by providing additional storage on the Sellafield site."
BEIS_0018_2122-Q1,CCUS,DESNZ,Infrastructure and Construction,"CCUS is essential in meeting net zero target and we have
committed to supporting the deployment of CCUS in two
industrial clusters by the mid-2020s and a further two clusters
by 2030, as announced in the Prime Minister’s Ten Point Plan.
As set out in the Net Zero Strategy we have an ambition to
capture 20-30 million tonnes of CO2 per annum and, as per the
Energy Security Strategy, will enable 10 GW of low carbon
hydrogen capacity by 2030 with at least half from electrolytic
hydrogen, subject to affordability and value for money.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,2020-04-01 00:00:00,2030-12-31 00:00:00,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

N/A"
DECC_0005_1112-Q1,Geological Disposal Facility Programme (GDF),DESNZ,Infrastructure and Construction,"The primary objective of the programme is to site and construct a permanent geological disposal facility (GDF) as the safe, secure and environmentally responsible solution to the long term management of higher activity radioactive waste in the UK excluding Scotland.  A GDF is the internationally agreed and only viable permanent answer to the UK's existing legacy of Highly radioactive waste.  As a nationally significant infrastructure programme a GDF will also provide an opportunity to sustainably boost the economy of the host region and local community to transform itself for many generations.  The programme also supports the delivery of the UK's nuclear new build programme as the Government needs to be satisfied that effective arrangements exist or will exist to manage and dispose of the wastes they will produce before development consents for new nuclear power stations are granted.",Amber,,"Compared to financial year 22/23-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

The DCA of amber reflects the uncertainty in the project at this time.  There is still considerable uncertainty with the site locations, associated geology and technical feasibility as the programme moves towards the next phase as communities are selected to move to detailed site investigations or exited from the process.
The programme continues to make good progress within this phase of community engagement and site evaluation across the main factors of willing community, suitable site and programme deliverability, in line with the Working With Communities Policy with the 3 existing Community Partnerships.",2008-06-30 00:00:00,2050-03-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2050-03-31. This is primarily due to the following factors. 

 The indicative project end date is that given for the First Waste Emplacement of legacy radioactive waste in the facility, aligned to the Tranche 3 sub programme business case; this includes updated timescales in the securing of willing communities, a better understanding of the full scope of work to characterise the sites through the drilling of deep geological boreholes and associated consents and permissions and a level of schedule risk and uncertainty.
It should be noted that the programme continues to face considerable uncertainties at this stage due to the site selection process; confidence will increase as the potential site locations are down selected and fully characterised.  The schedule remains on target for the first key decision point - selection of preferred site(s) in 2026.",52.12,52.12,0,The budget variance is inferior or equal to 5%.,20300,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 20300m. This is primarily due to the following factors. 

 The whole life costs align with those approved in the Programme Level Business Case (at 17/18 money values).  The WLCs presented in the GMPP report cover both the HMG & non-HMG costs to the programme and are the lower bound estimate within the business case.  The lower bound 20.3bn covers the lower possible technical complexity of the GDF site construction and includes provision for legacy waste, waste from new nuclear (16GWe) and other potential materials.  The upper bound of the business case 53.3bn includes for higher technical complexity in the GDF construction site, contingency, optimism bias and uncertainty.  As we move to preferred sites the level of uncertainty will significantly reduce.",0,"The project's departmental-agree monetised benefits at 23/24-Q4 is 0m. 

As a nationally significant infrastructure project which will span decades, a GDF will also provide a unique opportunity to sustainably boost the economy of the host region and local community to transform itself for many generations. 
The benefits of a GDF are wide-ranging and will span many future generations, they fall into four main categories: 
1.	It is an essential environmental protection project - finally disposing of legacy radioactive waste and providing a safe, permanent solution.
2.	Enabling the completion of the NDA decommissioning mission across the NDA Group and in particular Sellafield - avoiding the very significant costs and risks of keeping the waste safe and secure in storage facilities above ground for many thousands of years.
3.	A key enabler for nuclear new build - contributing to the British Energy Security Strategy and net-zero 2050 .
4.	Significant host community benefits - a transformational opportunity by creating thousands of jobs, a highly skilled local workforce, and business opportunities for more than 100 years as presented in the GDF - Creating Jobs & Skills report  as well infrastructure investment and community support."
BEIS_0233_2223-Q4,Great British Nuclear,DESNZ,Infrastructure and Construction,"Great British Nuclear (GBN) was set-up as HMG's new nuclear delivery body. GBN's first mandate is to take forward the SMR programme, launched in July 2023. The PBC is forecast to be approved in 2024. 
The SMR Programme is building block to support the wider nuclear programme - up to 24GW by 2050.
The first phase of the SMR Programme focuses on enabling projects, which will be initiated through the following workstreams;
Technology Selection: To run a competitive tender and down select to one or more potential technology partners - OBC approved in Feb 2024.  
Siting: To identify and secure access to sites for the allocation of selected technologies. 
SMR Programme Development: To set up GBN as an intelligent customer to oversee the management and delivery of the SMR Programme, including procurement and establishment of Devcos.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,2023-07-01 00:00:00,2029-12-21 00:00:00,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.
BEIS_0115_2223-Q1,Green Heat Network Fund,DESNZ,Infrastructure and Construction,"The vision for the GHNF scheme is to incentivise the transition of the heat network market to low-carbon heat sources via targeted financial support, that will help stimulate the increased deployment of low-carbon technologies at scale to support governments Net Zero agenda. The GHNF objectives are as follows:(i) Achieve carbon savings and decreases in carbon intensity of heat supplied. (ii) Increase the total amount of low-carbon heat utilisation in heat networks (both retrofitted and new heat networks). (iii) Contribute towards market transformations across the investment landscape and supply chain that will better prepare the heat network sector for further decarbonisation.",,Green,"Compared to financial year 22/23-Q4, Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 decreased from Amber to Green. This is primarily due to the following factors. 

GHNF opened to applicants in March 2022 as a 288m capital grant fund. Further capital was secured for the scheme in 2023. This enabled us to extend the scheme and allocate additional funding in line with a strong pipeline and high demand. Having implemented an extension to Delivery Partner contract, the overall delivery confidence is high.",2022-03-07 00:00:00,2028-06-30 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2025-03-30 to 2028-06-30. This is primarily due to the following factors. 

 Additional capital allocation was made to GHNF in 2023. As a result, GHNF capital funding is spread over six years - from FY 2022/23 to FY 2027/28. GHNF Delivery Partner contract was extended in light of this. The revised Project End Date is 30/06/2028.",94,69.7,-26,"The budget variance exceeds 5%. This is primarily due to the following factors. GHNF budget for FY2023/24 was reduced from the original Spending Review allocation of 90m to fund other departmental priorities. GHNF capital spend in this FY was 66.6m against the reduced budget of 73.5m. The same year, the underspend on GHNF resource budget of 4m was of c. 870,000.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.," 

 GHNF Whole Life Cost was re-baselined to reflect additional capital and resource allocation made in 2023.",3344,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 2324-Q4 increased from 2267m. to 3344m. 

The GHNF is tracking the following primary benefits: 
1. An increased volume of thermal energy supplied through low-carbon sources
2. Decreased carbon intensity of heat delivered by GHNF supported heat networks 
3. Monetised carbon savings and air quality improvements
4. Increased use of recovered heat in heat networks funded via GHNF is being tracked as a secondary benefit. This change was approved in the updated GHNF FBC in Oct-Nov 2023.
5. Increased investment in the UK heat network market"
DESNZ_0295_2324-Q3,Home Upgrade Grant and Local Authority Delivery (HULA) schemes,DESNZ,Government Transformation and Service Delivery,"HULA aims to deliver progress towards the fuel poverty target to improve as many D, E, F or G rated fuel poor homes as practicable to a minimum energy efficiency rating of C by end 2030. HULA also aims to deliver progress towards the UK's statutory target for net zero by 2050 and enable the delivery of the wider policy package to phase out high-carbon home heating by growing supply chains and ensuring policies do not negatively affect fuel poor households.
HULA comprises Home Upgrade Grant (HUG) and Local Authority Delivery Scheme (LAD). HUG provides energy efficiency upgrades and low-carbon heating measures to low-income households in the worst-performing, off-gas-grid homes in England and is due to complete by March 2025. LAD (which completed in 2023) provided energy efficiency upgrades and low-carbon heating to low-income households in the worst-performing homes in England whilst supporting economic resilience and a green recovery. 
""",Amber,,"The Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. 

This project is amber because of under-delivery of LAD and HUG schemes. LAD Phase 1&2, which completed September 2022, spent 331m of its 500m budget (66%) and treated 38,646 homes of its 55,000 target. LAD Phase 3 allocated 286.8m in grants to Local Authorities and forecasts to spend 221m (77%). HUG Phase 1 allocated 218.6m to Local Authorities and forecasts to spend 61m (27%). HUG Phase 2 has 415m to allocate to Local Authorities and forecasts to spend 225m (54%). 
Under delivery has been due to the high degree of optimism bias in LA forecasts, challenges identifying a sufficient pipeline of eligible homes, drop-out rates and cost-cap limitations. A Delivery Agent/ Delivery Partner is now in place to support LAs in line with lessons learned. Policy revisions (including increasing the income threshold and simplifying cost caps) which come into effect on 2 April, will also help to unlock delivery.",2020-03-01 00:00:00,2025-03-31 00:00:00,"The project's end-date at 23/24-Q4 is 2025-03-31. This is primarily due to the following factors. 

 This project end date is 31st March 2025 because, under the current scope of the HULA programme, delivery of all energy efficiency upgrades undertaken by Local Authorities and Local Net Zero Hubs using grant funding from HUG and LAD schemes will be complete by this date.",177.05,102.29,-42,"The budget variance exceeds 5%. This is primarily due to the following factors. This project is amber because of under-delivery of LAD and HUG schemes. LAD Phase 1&2, which completed September 2022, spent 331m of its 500m budget (66%) and treated 38,646 homes of its 55,000 target. LAD Phase 3 allocated 286.8m in grants to Local Authorities and forecasts to spend 221m (77%). HUG Phase 1 allocated 218.6m to Local Authorities and forecasts to spend 61m (27%). HUG Phase 2 forecasts to spend 225m  against its baseline of 315m (71%)_x000D_
Under delivery has been due to the high degree of optimism bias in LA forecasts, challenges identifying a sufficient pipeline of eligible homes, drop-out rates and cost-cap limitations. A Delivery Agent/ Delivery Partner is now in place to support LAs in line with lessons learned. Policy revisions (including increasing the income threshold and simplifying cost caps) which come into effect on 2 April, will also help to unlock delivery.",1307,"The project's departmental-agree Whole Life Cost at 23/24-Q4 is 1307m. This is primarily due to the following factors. 

 The project's baseline Whole Life Cost is 1307m. The project issues capital grant funding to Local Authorities and Local Net Zero Hubs via Section 31 of the Local Government Act of 2003. Grant recipients then use these funds to upgrade the worst energy inefficient homes in England, for low-income households, to contribute to the Government's fuel poverty target, the net zero ambition and support green jobs. Funding allocation methods used have included: competition (LAD Phase 1 and 3 and HUG Phase 1), direct allocation (LAD Phase 2) and a challenge fund model (HUG Phase 2). The project's resource budgets are used to fund the DESNZ teams setting up and delivering the project as well as contracts with suppliers providing delivery, monitoring and evaluation services (e.g. Delivery Agent, Delivery Partner, Technical Assistance Facility).",4782,"The project's departmental-agree monetised benefits at 23/24-Q4 is 4782m. 

The project's baseline Whole Life monetised benefits is 4782m. Benefits are realised because homes will operate more efficiently and use less energy if the fabric and heating system of the homes are upgraded. Occupiers will therefore be spending less money on heating their homes (with an expected annual bill saving of 200-700 based on current energy prices). In most cases, this will also mean lower carbon emissions. There are also wider societal benefits including improved air quality and reduced costs on the energy supply grids, from reduced energy use and carbon emissions. There are health benefits, as cold homes impact health. A side effect of reduced energy demand may be that because occupiers are saving money, they are happy to use some of those savings to make their homes warmer. For example, turning the heating up from 18 to 21 degrees. This is called Comfort Savings."
DESNZ_0334_2324-Q3,Hydrogen Allocation Round 1 (HAR1),DESNZ,Infrastructure and Construction,"The first joint electrolytic hydrogen allocation round (HAR1) offers both Hydrogen Production Business Model (HPBM) and Net Zero Hydrogen Fund (NZHF) support to first-of-a-kind electrolytic hydrogen projects. The HPBM is designed to provide a subsidy to low carbon hydrogen producers, helping them to overcome the operating cost gap between low carbon hydrogen and high carbon fossil fuels otherwise consumed. 

HAR1 is the first opportunity for Government to demonstrate that it is delivering on the ambition for up to 10GW of hydrogen production capacity by 2030. If the UK loses this opportunity to signal support to the hydrogen economy, it will be difficult to meet the investment levels needed to reach our deployment ambitions and build a UK supply chain of skills and components ready for global export.",,Amber,"The Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 is Amber. This is primarily due to the following factors. 

All 11 projects announced in Dec-23 remain in the process. The counterparty - Low Carbon Contracts Company (LCCC) is expected to offer contracts to successful projects from Summer 2024. The HAR1 scheme was published on the subsidy control transparency database on 13/02, detailing the whole life costs, and maximum amount given under this scheme. One month challenge window passed on 13/03 with no challenges being raised. Lessons learnt sessions have been completed across the last quarter on the key project phases to inform future allocation rounds and HAR1 delivery phase.",2022-07-20 00:00:00,2042-06-30 00:00:00,"The project's end-date at 23/24-Q4 is 2042-06-30. This is primarily due to the following factors. 

 All 11 successful projects remain in the process and contracts are expected to be signed from Summer 2024.",15.5,15.5,0,The budget variance is inferior or equal to 5%.,2366,"The project's departmental-agree Whole Life Cost at 23/24-Q4 is 2366m. This is primarily due to the following factors. 

 HAR1 is on track to deliver the outcomes, costs profile and benefits as agreed through the Full Business Case in Nov-23 which includes: 
HPBM lifetime costs, NZHF lifetime Capital Expenditure, LCCC counterparty costs from FY 22/23 - 24/25. Future counterparty spend is subject to DESNZ business planning process.",1285,"The project's departmental-agree monetised benefits at 23/24-Q4 is 1285m. 

No deviation from approved monetised benefits position in Full Business Case. The monetised benefits are
i)	Carbon benefit - the value of the carbon emissions abated as a result of offtakers switching away from fossil fuel use, net of the emissions incurred in the production process (indirect emissions from electricity sourced from the grid).   
ii)	Air quality benefit - the value of reduced air pollution as a result of offtakers switching away from fossil fuel use, net of pollution incurred in the production process (indirect emissions from electricity sourced from the grid).
iii)	Value of displaced fuels - the monetised benefit of not having to produce and use the fossil fuels that are being displaced by the hydrogen produced from HAR1 projects.
iv)	Productivity increases - the wage premium associated with creation of jobs to support the construction and operation of the HAR1 projects and associated indirect jobs in the supply chain."
BEIS_0001_2122-Q2,Low Cost Nuclear Programme (Rolls Royce SMRs Challenge),DESNZ,Infrastructure and Construction,"The Low Cost Nuclear Programme Phase 2 is a 468m (210 grant + 258 match funding) Research and Development (R&D) and innovation project aiming to further develop the UK small modular reactor power station concept, to enable the design to successfully pass the key regulatory milestone of Generic Design Assessment (GDA) Step 2 completion by 31/03/2025.  The grant recipient, and lead on the project is Rolls Royce SMR Ltd. DESNZ is responsible for the project, and have contracted UKRI as delivery partner,providing programme management and assurance of the grant.",,Green,"Compared to financial year 22/23-Q4, Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 decreased from Amber to Green. This is primarily due to the following factors. 

Implementation of the re-profiled project plan (v7) was executed well with some additional small corrections to resourcing in Q3.  Investor confidence and the flow of matched funding has improved with RR SMR Ltd interaction with the Great British Nuclear Technology Selection Process.  High-level milestones have been met across the year with mitigation plans in place for secondary milestone movement.  Risks remain in regards to transition from this project to full delivery but further clarity on their impacts will not crystallise until Q1 24/25.",2021-05-01 00:00:00,2025-03-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2025-03-31. This is primarily due to the following factors. 

 The overall timelines are driven by the desired outcome of completion of Step 2 of the Generic Design Assessment regulatory process by 31/03/2025.  Progression from Step 1 of GDA to Step 2 undertaken in Q1 23/24.",200,145.9,-27,The budget variance exceeds 5%. This is primarily due to the following factors. The budget variance exceeds 5% due to in-year re-phasing of the project plan and its requisite payment forecasts.  The timings of some milestones have been adjusted as a result.,468,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 468m. This is primarily due to the following factors. 

 The project is currently on track to deliver the desired outcome within the timeframe, with costs driven by the key innovation and work to complete Step 2 of GDA.",280,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 280m. 

As this is an R&D innovation project the majority of benefits are non-monetised.  Direct monetised benefits will be realised through co-investment in this phase of R&D provided by RR SMR Ltd.  The wider NPV of the programme, should the design progress beyond the current scope of Phase 2 to deployment will be between 1.3bn and 8.2bn (dependent on the range of SMR capacity employed)"
BEIS_0002_2122-Q2,NZHF,DESNZ,Infrastructure and Construction,"The Net Zero Hydrogen Fund (NZHF) is a 240m fund that was announced in Government's Ten Point Plan; it will be delivered between 2022 and 2026. The aim of the NZHF is to support the commercial deployment of new low carbon hydrogen production projects during the 2020s, ensuring the UK has a diverse and secure decarbonised energy system fit for meeting our ambition of up to 10GW low carbon hydrogen production in construction or operation by 2030, and our commitment to reach net zero by 2050.",Amber,,"Compared to financial year 22/23-Q4, the Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber(IPA rating). This is primarily due to the following factors. 

NZHF Strands 1 and 2 projects have up to date claimed significantly less funding than envisaged by initial project plans. Out of 15 projects that have been offered funding in the first competition round, 4 subsequently withdrew and most ongoing projects are experiencing minor to major delays. This is not uncommon with First of a Kind (FOAK) projects in nascent sectors. 3 projects have been completed. The department is closely engaging with ongoing projects to minimise and manage these delays.
 
The successful projects from round 2 were announced in February 2024, and we are currently working with the projects to sign Grant Offer Letters (GOLs). There has already been a significant delay to the project start dates, so we are working with the relevant parties to speed up the GOL signing and manage the delays.",2020-11-18 00:00:00,2025-03-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2025-03-31. This is primarily due to the following factors. 

 All NZHF Strands 1 and 2 projects were due to end in March 2025 at the latest. Projects from the first competition round have experienced delays in delivery by default rather than by exception, which appears to be characteristic of a nascent sector, and the round 2 projects are already seeing significant delays to their start dates, which will have a knock on effect on the end dates. We are putting in place appropriate mechanisms to manage the delays and spend to the projects post March 2025, as appropriate.",87.28,87.28,0,The budget variance is inferior or equal to 5%.,242,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 242m. This is primarily due to the following factors. 

 The NZHF is worth 240m of CDEL. This spend is now forecast up to financial year end 2025/26. The CDEL estimate reflects the expected spend on grants to support the deployment of UK Low Carbon Hydrogen. These have been forecast using the expected production costs within the BEIS Hydrogen Production Costs Report. The RDEL estimates reflect the forecasted delivery costs of the fund.",4390,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 4390m. 

The benefits data has been obtained from the FBC Economic Case. Therefore, we have not broken it down by year to year. The monetised benefits figures has been obtained from the Economic Case OBC with the Displacement of high carbon fuels valued at 1400m, Carbon savings valued at 2820m and Air quality benefits valued at 170m."
BEIS_0013_2021-Q4,Public Sector Decarbonisation Scheme (PSDS),DESNZ,Infrastructure and Construction,"The Public Sector Decarbonisation Scheme has been running since September 2020. It provides capital funding for heat decarbonisation and energy efficiency projects in public sector buildings in England. The PSDS's primary objective is to reduce direct carbon emissions from the public sector. These non-traded emissions savings will contribute to Carbon Budgets 4, 5 and 6, and will help the UK meet its Net Zero targets. Funding for phases 1 and 2 of the scheme ended on 31 March 2022. Phase 3 is currently in delivery and funding for Phase 4 has been secured following the government's announcement of 6bn for energy efficiency policies making available funding for public sector decarbonisation for 25/26 to 27/28. Phase 4 is subject to business case approval.",Amber,,"Compared to financial year 22/23-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

Although the key milestones for year 1 and 2 of PSDS Phase 3 have been successfully delivered, the outcome in terms of spend and technology deployed remains uncertain. We know that projects are experiencing headwinds from higher than expected costs due to inflation.",2020-07-08 00:00:00,2025-03-31 00:00:00,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2025-03-31. This is primarily due to the following factors. 

 The project is due to conclude on 31/03/2025 in line with our latest approved business case. The project end date will shift by a year (to March 2026) when we receive approval via the business case process for the next Phase of the scheme.",461.04,461.04,0,The budget variance is inferior or equal to 5%.,2565,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 decreased from 2598m. to 2565m. This is primarily due to the following factors. 

 The Whole Life Costs decreased due to readjustment of baseline following PSDS budget reductions and departmental budget transfers.",5076,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 2324-Q4 decreased from 5324m. to 5076m. 

The scheme benefits are monetised as far as possible. The monetised benefits  are i) reductions in carbon emissions as a result of changes to fuel consumption, ii) air quality improvements through decreased burning of fossil fuels, and iii) changes to energy consumption. The benefits are monetised using the most recent available Green Book Assumptions.

The benefits associated with the scheme continue beyond delivery as projects delivered under the PSDS result in continued carbon emission reductions."
